USAGE_DATE,Actual Usage,,,
4/1/23,13.754,,,
4/2/23,9.278,,,
4/3/23,8.865,,,
4/4/23,8.17,,,
4/5/23,8.209,,,
4/6/23,13.273,,,
4/7/23,21.236,,,
